"","date","yn","day","night","dd","rate","d_rate","n_rate","dd_rate","month","year"
"336",2016-07-15,0,0,0,0,0,0,0,0,7,2016
"337",2016-07-16,1,1,1,1,100.208333333333,132.433960424993,45.796010538201,75.9226713532513,7,2016
"338",2016-07-17,1,1,0,0,0.833333333333333,1.40556368960469,0,0,7,2016
"339",2016-07-18,1,1,0,0,0.708333333333333,1.19648093841642,0,0,7,2016
"340",2016-07-19,0,0,0,0,0,0,0,0,7,2016
"341",2016-07-20,0,0,0,0,0,0,0,0,7,2016
"342",2016-07-21,0,0,0,0,0,0,0,0,7,2016
"343",2016-07-22,1,0,1,0,0.25,0,0.79455582122494,0,7,2016
"344",2016-07-23,0,0,0,0,0,0,0,0,7,2016
"345",2016-07-24,0,0,0,0,0,0,0,0,7,2016
"346",2016-07-25,1,1,0,0,16.875,28.8370253164557,0,0,7,2016
"347",2016-07-26,1,1,0,0,1.625,2.7818506043194,0,0,7,2016
"348",2016-07-27,1,1,1,0,84.125,143.785607940447,0.907780979827089,0,7,2016
